,owner,brand,price,kms_driven,age,power
62,Second Owner,Royal Enfield,107100.0,15438.0,3.0,350.0
63,First Owner,Bajaj,80000.0,6000.0,3.0,220.0
64,First Owner,Royal Enfield,88000.0,19000.0,5.0,350.0
65,First Owner,KTM,94700.0,32700.0,4.0,200.0
66,First Owner,Hero,12200.0,46643.0,14.0,100.0
67,First Owner,Royal Enfield,106000.0,19000.0,6.0,350.0
68,First Owner,Bajaj,29500.0,40700.0,12.0,220.0
69,First Owner,Kawasaki,290000.0,11350.0,7.0,650.0
70,First Owner,Royal Enfield,110000.0,1600.0,6.0,350.0
71,First Owner,Bajaj,27000.0,44410.0,10.0,125.0
72,First Owner,Royal Enfield,65000.0,9800.0,11.0,350.0
73,First Owner,Royal Enfield,150000.0,15000.0,3.0,350.0
74,Second Owner,Hero,55786.0,68000.0,7.0,223.0
75,First Owner,Bajaj,45000.0,17757.0,8.0,180.0
76,First Owner,Yamaha,146000.0,3900.0,2.0,250.0
77,First Owner,Royal Enfield,115000.0,23700.0,4.0,350.0
78,First Owner,Bajaj,30000.0,8250.0,3.0,100.0
79,First Owner,Bajaj,93100.0,10000.0,5.0,200.0
80,Second Owner,Yamaha,82000.0,4300.0,3.0,150.0
81,First Owner,Royal Enfield,260000.0,3800.0,2.0,650.0
82,First Owner,Honda,38000.0,33000.0,7.0,125.0
83,Second Owner,KTM,130000.0,17500.0,4.0,250.0
84,First Owner,Royal Enfield,118000.0,19000.0,4.0,410.0
85,First Owner,Bajaj,14700.0,10000.0,11.0,135.0
86,First Owner,Royal Enfield,85000.0,54000.0,6.0,350.0
87,First Owner,Bajaj,40000.0,27000.0,7.0,220.0
88,First Owner,Yamaha,50000.0,19000.0,6.0,150.0
89,First Owner,Royal Enfield,71800.0,43500.0,7.0,350.0
91,First Owner,Bajaj,75000.0,11575.0,4.0,200.0
92,First Owner,Ducati,1350000.0,190.0,1.0,1100.0
93,First Owner,Triumph,790000.0,19000.0,3.0,765.0
94,First Owner,Bajaj,47000.0,8600.0,4.0,150.0
95,First Owner,Bajaj,60000.0,2000.0,2.0,150.0
96,First Owner,Suzuki,96700.0,5100.0,1.0,150.0
97,First Owner,Hero,31900.0,9000.0,5.0,100.0
98,First Owner,Bajaj,35000.0,44480.0,13.0,150.0
99,First Owner,KTM,240000.0,11000.0,3.0,390.0
100,First Owner,Honda,68000.0,16000.0,7.0,250.0
101,First Owner,Bajaj,80000.0,26691.0,5.0,200.0
102,First Owner,Royal Enfield,135000.0,45000.0,5.0,350.0
103,Third Owner,Bajaj,11100.0,12000.0,12.0,150.0
104,First Owner,Benelli,480000.0,14200.0,4.0,600.0
105,First Owner,Suzuki,65000.0,41000.0,3.0,150.0
106,First Owner,Yamaha,60000.0,15000.0,5.0,150.0
107,First Owner,Honda,80000.0,12314.0,4.0,150.0
108,First Owner,Hero,46000.0,11760.0,3.0,100.0
109,First Owner,Royal Enfield,95000.0,22000.0,11.0,500.0
110,First Owner,Hyosung,400000.0,1800.0,4.0,650.0
111,First Owner,Bajaj,55000.0,4400.0,4.0,150.0
112,First Owner,Yamaha,63000.0,16000.0,5.0,150.0
113,First Owner,Bajaj,51000.0,9000.0,4.0,150.0
114,First Owner,TVS,69900.0,8700.0,3.0,160.0
115,First Owner,Bajaj,125000.0,1342.0,4.0,200.0
116,First Owner,Benelli,210000.0,21000.0,6.0,300.0
117,First Owner,Honda,35900.0,19000.0,5.0,125.0
118,First Owner,Honda,67000.0,13000.0,9.0,250.0
119,First Owner,Hero,29339.0,12771.0,4.0,100.0
120,First Owner,Hero,19695.0,51576.0,6.0,100.0
121,First Owner,Hero,48672.0,608.0,2.0,110.0
122,First Owner,Honda,40000.0,13680.0,9.0,150.0
123,First Owner,Yamaha,500000.0,285.0,5.0,600.0
124,First Owner,Ducati,800000.0,3.0,3.0,1299.0
125,First Owner,Royal Enfield,110000.0,24676.0,5.0,410.0
126,First Owner,Royal Enfield,92500.0,11000.0,6.0,350.0
127,First Owner,Bajaj,57000.0,28948.0,5.0,200.0
128,First Owner,Royal Enfield,72500.0,10000.0,10.0,350.0
129,First Owner,KTM,68000.0,16000.0,9.0,200.0
130,First Owner,TVS,21500.0,10500.0,5.0,125.0
131,First Owner,TVS,40000.0,20000.0,6.0,160.0
132,First Owner,Royal Enfield,91000.0,18000.0,5.0,350.0
133,First Owner,Harley-Davidson,300000.0,3500.0,6.0,750.0
134,First Owner,Suzuki,47000.0,70000.0,6.0,150.0
135,First Owner,Suzuki,53000.0,18158.0,6.0,150.0
136,First Owner,Suzuki,51000.0,39140.0,5.0,150.0
137,First Owner,Bajaj,48000.0,27776.0,8.0,220.0
138,First Owner,Bajaj,55000.0,32734.0,6.0,220.0
139,First Owner,Royal Enfield,173300.0,14000.0,2.0,410.0
140,First Owner,Royal Enfield,77000.0,13000.0,8.0,350.0
141,First Owner,Bajaj,115000.0,5000.0,2.0,200.0
142,First Owner,Bajaj,36000.0,39500.0,7.0,150.0
143,First Owner,Bajaj,72000.0,29500.0,4.0,220.0
144,First Owner,Royal Enfield,115000.0,14900.0,3.0,350.0
145,First Owner,Honda,65000.0,2000.0,3.0,125.0
146,First Owner,Honda,99000.0,4000.0,2.0,150.0
147,Second Owner,Yamaha,68500.0,68500.0,7.0,150.0
148,First Owner,Yamaha,140000.0,2473.0,2.0,150.0
149,First Owner,KTM,130000.0,9221.0,3.0,200.0
150,First Owner,Bajaj,46000.0,37128.0,7.0,200.0
151,First Owner,Hero,30000.0,16166.0,6.0,125.0
152,First Owner,Bajaj,116000.0,11716.0,3.0,400.0
153,First Owner,Royal Enfield,130000.0,8419.0,3.0,350.0
154,First Owner,Royal Enfield,98000.0,13459.0,5.0,350.0
155,First Owner,Royal Enfield,85000.0,14704.0,6.0,350.0
158,First Owner,Bajaj,50000.0,9200.0,4.0,150.0
159,First Owner,Royal Enfield,100000.0,30294.0,5.0,350.0
160,First Owner,Royal Enfield,66000.0,19756.0,8.0,350.0
165,First Owner,Honda,80000.0,12000.0,2.0,160.0
166,First Owner,Royal Enfield,123600.0,7702.0,3.0,350.0
167,First Owner,Suzuki,950000.0,312.0,3.0,1300.0
168,First Owner,Royal Enfield,107000.0,17000.0,4.0,350.0
169,First Owner,Ducati,600000.0,16000.0,5.0,821.0
170,First Owner,Yamaha,80000.0,3500.0,3.0,150.0
171,First Owner,Suzuki,75000.0,11050.0,4.0,150.0
172,First Owner,Hero,43778.0,948.0,2.0,125.0
173,Second Owner,KTM,118000.0,11200.0,5.0,200.0
174,First Owner,Yamaha,68000.0,10407.0,5.0,150.0
175,First Owner,Bajaj,27000.0,23000.0,8.0,125.0
176,First Owner,Hero,48500.0,5500.0,2.0,100.0
177,First Owner,Hero,15000.0,38000.0,15.0,223.0
178,First Owner,KTM,95000.0,23000.0,5.0,200.0
179,First Owner,KTM,145000.0,4500.0,4.0,200.0
180,First Owner,Yamaha,62000.0,11227.0,3.0,150.0
181,First Owner,Hero,25000.0,45000.0,9.0,100.0
182,First Owner,Ducati,700000.0,100.0,6.0,1198.0
183,First Owner,Royal Enfield,160000.0,3500.0,3.0,500.0
184,First Owner,Bajaj,47500.0,30000.0,5.0,220.0
185,First Owner,Yamaha,21000.0,38000.0,9.0,150.0
186,First Owner,Yamaha,18000.0,22000.0,12.0,125.0
187,First Owner,Hero,36000.0,54560.0,8.0,223.0
188,First Owner,Yamaha,52000.0,33150.0,6.0,150.0
189,Second Owner,Harley-Davidson,435000.0,5550.0,7.0,883.0
190,First Owner,TVS,68000.0,12077.0,5.0,200.0
191,First Owner,Bajaj,80000.0,5000.0,4.0,220.0
192,First Owner,Royal Enfield,110800.0,13300.0,6.0,500.0
193,First Owner,TVS,85000.0,16000.0,2.0,160.0
194,First Owner,Royal Enfield,145000.0,4000.0,2.0,350.0
195,First Owner,Bajaj,145000.0,3000.0,3.0,400.0
196,First Owner,Royal Enfield,149000.0,7000.0,3.0,350.0
197,First Owner,Hero,60000.0,4000.0,2.0,100.0
198,First Owner,Royal Enfield,140000.0,11000.0,4.0,350.0
199,First Owner,KTM,85000.0,15000.0,7.0,200.0
200,First Owner,Bajaj,86000.0,15000.0,3.0,220.0
201,First Owner,Royal Enfield,115000.0,15500.0,4.0,350.0
202,First Owner,Suzuki,83000.0,500.0,3.0,150.0
207,First Owner,Bajaj,28000.0,35251.0,12.0,180.0
208,First Owner,Hero,14500.0,35000.0,14.0,100.0
209,First Owner,Hero,32000.0,22000.0,5.0,110.0
210,First Owner,Bajaj,62500.0,26000.0,5.0,180.0
211,First Owner,Yamaha,122500.0,10000.0,3.0,150.0
212,First Owner,Bajaj,24500.0,15000.0,6.0,100.0
213,First Owner,TVS,78500.0,26000.0,4.0,200.0
214,First Owner,Royal Enfield,102500.0,21000.0,4.0,350.0
215,First Owner,TVS,28000.0,28428.0,9.0,110.0
216,First Owner,Royal Enfield,130000.0,10149.0,3.0,350.0
217,First Owner,Royal Enfield,130000.0,7036.0,3.0,350.0
218,First Owner,Bajaj,115000.0,7593.0,4.0,400.0
219,First Owner,KTM,96000.0,17000.0,6.0,200.0
220,First Owner,Bajaj,29500.0,15798.0,4.0,100.0
221,First Owner,Yamaha,100000.0,4800.0,4.0,150.0
222,First Owner,Royal Enfield,177982.0,7000.0,2.0,410.0
223,First Owner,Royal Enfield,202000.0,11000.0,2.0,410.0
225,Third Owner,KTM,113000.0,28000.0,6.0,200.0
226,Second Owner,Bajaj,45400.0,23000.0,5.0,220.0
227,First Owner,Royal Enfield,105000.0,16000.0,4.0,350.0
228,First Owner,Ducati,885000.0,300.0,2.0,959.0
229,First Owner,Yamaha,30000.0,50000.0,6.0,150.0
230,First Owner,Bajaj,22000.0,22000.0,6.0,100.0
231,First Owner,Royal Enfield,115000.0,10000.0,4.0,350.0
232,First Owner,Bajaj,55000.0,3000.0,4.0,150.0
233,First Owner,Bajaj,20000.0,55000.0,9.0,125.0
234,First Owner,Hero,56000.0,16500.0,4.0,110.0
235,First Owner,TVS,28000.0,36000.0,5.0,100.0
236,First Owner,Hero,44000.0,7329.0,3.0,125.0
237,First Owner,Bajaj,190000.0,8780.0,2.0,400.0
238,First Owner,Royal Enfield,78000.0,20000.0,8.0,350.0
239,First Owner,Honda,18787.0,28164.0,10.0,125.0
240,First Owner,Bajaj,51500.0,20600.0,6.0,200.0
241,First Owner,Bajaj,54200.0,5700.0,6.0,220.0
242,First Owner,Royal Enfield,175000.0,11277.0,3.0,500.0
243,First Owner,Bajaj,48000.0,26000.0,7.0,220.0
244,First Owner,Honda,40000.0,4000.0,5.0,110.0
245,First Owner,Bajaj,102400.0,11600.0,4.0,400.0
246,First Owner,Yamaha,65000.0,8800.0,3.0,150.0
247,First Owner,KTM,170000.0,2100.0,4.0,390.0
248,First Owner,Bajaj,12999.0,65000.0,13.0,150.0
249,First Owner,KTM,87000.0,20000.0,6.0,200.0
250,Second Owner,Bajaj,45600.0,18000.0,5.0,220.0
251,First Owner,Bajaj,42000.0,58000.0,7.0,180.0
252,First Owner,Bajaj,47000.0,24445.0,8.0,200.0
253,First Owner,Bajaj,31000.0,34525.0,7.0,100.0
254,First Owner,Suzuki,72500.0,19000.0,4.0,150.0
255,First Owner,Suzuki,80999.0,4000.0,3.0,150.0
256,First Owner,Bajaj,85000.0,9148.0,6.0,200.0
257,First Owner,TVS,60000.0,16000.0,5.0,160.0
258,First Owner,Bajaj,148999.0,3694.0,4.0,400.0
259,First Owner,Bajaj,49000.0,7524.0,5.0,150.0
260,First Owner,Hero,30000.0,23000.0,8.0,100.0
261,First Owner,KTM,140000.0,12800.0,6.0,200.0
262,First Owner,KTM,237818.0,1440.0,2.0,390.0
265,Second Owner,Yamaha,23600.0,22672.0,6.0,150.0
266,First Owner,Royal Enfield,100000.0,25000.0,8.0,500.0
267,First Owner,KTM,160700.0,10000.0,3.0,200.0
268,First Owner,Royal Enfield,78000.0,34200.0,6.0,350.0
269,First Owner,Bajaj,45000.0,7000.0,4.0,150.0
270,First Owner,Royal Enfield,60000.0,3490.0,9.0,350.0
271,First Owner,KTM,150000.0,7500.0,5.0,200.0
272,First Owner,Bajaj,37000.0,13500.0,5.0,150.0
273,First Owner,Royal Enfield,125000.0,11000.0,5.0,350.0
274,First Owner,Bajaj,70000.0,56353.0,5.0,200.0
275,First Owner,Bajaj,40000.0,25000.0,7.0,220.0
276,First Owner,Yamaha,62000.0,1123.0,2.0,125.0
277,First Owner,Royal Enfield,280000.0,1500.0,2.0,650.0
278,First Owner,Bajaj,44000.0,15000.0,4.0,150.0
279,First Owner,Royal Enfield,85000.0,31000.0,7.0,350.0
280,First Owner,Bajaj,51000.0,28000.0,5.0,220.0
281,First Owner,Bajaj,75000.0,11460.0,3.0,220.0
282,First Owner,KTM,160000.0,23000.0,5.0,390.0
283,First Owner,Bajaj,106000.0,1175.0,2.0,200.0
284,Third Owner,Triumph,599999.0,7800.0,5.0,675.0
285,First Owner,Honda,85000.0,15000.0,7.0,250.0
286,First Owner,Hero,31500.0,28653.0,8.0,100.0
287,Second Owner,Hyosung,150000.0,8000.0,6.0,250.0
288,First Owner,Jawa,210000.0,2100.0,2.0,295.0
289,First Owner,Bajaj,50000.0,3300.0,4.0,125.0
290,First Owner,Bajaj,29300.0,19000.0,6.0,100.0
291,First Owner,Bajaj,35740.0,20400.0,4.0,125.0
292,First Owner,Yamaha,24500.0,25000.0,10.0,150.0
293,First Owner,Hero,45000.0,18000.0,7.0,223.0
294,First Owner,KTM,210000.0,12000.0,4.0,390.0
298,First Owner,Royal Enfield,71000.0,11000.0,9.0,350.0
303,Second Owner,Yamaha,80400.0,5100.0,4.0,250.0
304,First Owner,Royal Enfield,135000.0,2200.0,4.0,350.0
305,First Owner,Harley-Davidson,350000.0,3100.0,6.0,750.0
306,First Owner,Hero,57000.0,1500.0,11.0,223.0
307,First Owner,Hero,76000.0,3000.0,2.0,200.0
308,First Owner,Bajaj,42100.0,22560.0,11.0,150.0
309,First Owner,Yamaha,73000.0,16658.0,6.0,150.0
310,First Owner,Benelli,366000.0,3135.0,3.0,302.0
311,Second Owner,Honda,61200.0,29000.0,3.0,160.0
312,First Owner,Royal Enfield,82000.0,29860.0,7.0,350.0
313,First Owner,Royal Enfield,120000.0,12000.0,5.0,350.0
315,First Owner,TVS,80000.0,7000.0,3.0,160.0
316,First Owner,Suzuki,81800.0,3700.0,2.0,150.0
317,First Owner,Bajaj,45900.0,27000.0,6.0,220.0
319,First Owner,Bajaj,86200.0,9300.0,4.0,200.0
320,First Owner,Hero,40000.0,9000.0,3.0,100.0
321,First Owner,Hero,10000.0,21389.0,12.0,150.0
322,First Owner,Hyosung,155000.0,13500.0,5.0,250.0
323,First Owner,Bajaj,46000.0,24374.0,6.0,200.0
324,First Owner,KTM,215000.0,9600.0,4.0,390.0
326,First Owner,Honda,23000.0,37000.0,7.0,110.0
327,Second Owner,Bajaj,55250.0,7781.0,3.0,220.0
328,First Owner,Hero,58000.0,7758.0,2.0,110.0
329,First Owner,Yamaha,66000.0,8000.0,3.0,150.0
330,First Owner,Hero,55000.0,32000.0,7.0,223.0
331,First Owner,Royal Enfield,89730.0,12100.0,9.0,500.0
332,First Owner,Royal Enfield,108000.0,26811.0,6.0,350.0
333,First Owner,Yamaha,314100.0,13500.0,3.0,320.0
334,First Owner,Royal Enfield,125000.0,16500.0,39.0,350.0
335,First Owner,Hero,18800.0,10401.0,8.0,100.0
336,Second Owner,Harley-Davidson,417000.0,13000.0,5.0,750.0
337,First Owner,Bajaj,105000.0,20500.0,4.0,400.0
338,First Owner,Honda,20000.0,19211.0,6.0,110.0
339,First Owner,Royal Enfield,88000.0,22500.0,10.0,350.0
340,First Owner,Bajaj,47000.0,14009.0,2.0,125.0
341,First Owner,Bajaj,95000.0,11000.0,2.0,220.0
342,First Owner,Yamaha,108000.0,2982.0,3.0,150.0
343,First Owner,KTM,186100.0,12000.0,3.0,390.0
344,First Owner,Honda,81500.0,3000.0,1.0,125.0
345,First Owner,Bajaj,20000.0,30806.0,5.0,100.0
346,Second Owner,Bajaj,15000.0,55000.0,13.0,150.0
347,First Owner,Bajaj,39000.0,5000.0,5.0,150.0
348,First Owner,Royal Enfield,102500.0,29000.0,5.0,350.0
349,First Owner,Royal Enfield,87000.0,15000.0,7.0,350.0
350,First Owner,Bajaj,118000.0,14500.0,3.0,400.0
351,First Owner,Royal Enfield,131100.0,6200.0,4.0,350.0
355,First Owner,Honda,42000.0,19000.0,5.0,160.0
356,First Owner,Honda,45000.0,15000.0,4.0,110.0
359,First Owner,BMW,255000.0,2200.0,3.0,310.0
360,First Owner,TVS,78700.0,3710.0,2.0,160.0
361,Second Owner,Honda,62800.0,38400.0,7.0,250.0
362,First Owner,Bajaj,35000.0,18000.0,6.0,150.0
363,First Owner,Bajaj,33800.0,17000.0,5.0,150.0
364,Third Owner,Kawasaki,125000.0,21000.0,11.0,250.0
365,First Owner,Royal Enfield,146000.0,4700.0,5.0,410.0
366,First Owner,Benelli,569400.0,3174.0,6.0,899.0
367,First Owner,Indian,1900000.0,1700.0,6.0,1800.0
368,First Owner,Kawasaki,600000.0,230.0,1.0,650.0
369,First Owner,KTM,185000.0,3000.0,2.0,200.0
370,First Owner,Hero,32000.0,32000.0,5.0,100.0
371,First Owner,Hero,38000.0,21000.0,4.0,125.0
372,First Owner,Bajaj,35000.0,38717.0,5.0,150.0
373,First Owner,Hero,42000.0,1999.0,3.0,150.0
374,Second Owner,TVS,9350.0,39822.0,13.0,150.0
375,First Owner,Kawasaki,330000.0,7500.0,5.0,650.0
376,First Owner,Hero,36500.0,23000.0,7.0,100.0
377,Second Owner,Hero,38000.0,17376.0,5.0,100.0
378,First Owner,Royal Enfield,75000.0,33000.0,8.0,350.0
381,First Owner,Benelli,230000.0,9500.0,4.0,300.0
382,First Owner,TVS,31500.0,20000.0,8.0,160.0
385,First Owner,Royal Enfield,46000.0,35000.0,16.0,350.0
386,First Owner,Royal Enfield,109900.0,8600.0,5.0,350.0
388,First Owner,Bajaj,35000.0,18000.0,5.0,150.0
389,First Owner,Bajaj,65000.0,18000.0,3.0,160.0
390,First Owner,Jawa,175000.0,1800.0,2.0,295.0
391,First Owner,Royal Enfield,126000.0,23000.0,4.0,350.0
392,First Owner,Honda,25000.0,29000.0,9.0,125.0
393,First Owner,Honda,89000.0,5000.0,2.0,150.0
394,First Owner,Royal Enfield,160000.0,7500.0,2.0,350.0
395,First Owner,Bajaj,130000.0,15000.0,2.0,200.0
396,Second Owner,Honda,33500.0,26000.0,12.0,125.0
397,First Owner,Yamaha,128000.0,8000.0,3.0,150.0
398,First Owner,Royal Enfield,143000.0,7000.0,3.0,350.0
399,Second Owner,Bajaj,31000.0,31464.0,9.0,135.0
400,First Owner,Suzuki,72000.0,7419.0,3.0,150.0
401,First Owner,TVS,108500.0,10000.0,2.0,200.0
402,First Owner,Bajaj,74500.0,10000.0,4.0,220.0
403,First Owner,Bajaj,24000.0,6300.0,4.0,100.0
404,First Owner,Bajaj,80000.0,17000.0,3.0,220.0
405,First Owner,Bajaj,81000.0,22000.0,3.0,220.0
406,Second Owner,Royal Enfield,115000.0,15000.0,5.0,350.0
419,First Owner,Hero,56500.0,10000.0,2.0,110.0
420,First Owner,Bajaj,75000.0,16000.0,4.0,220.0
421,First Owner,Yamaha,72000.0,32542.0,6.0,150.0
422,First Owner,Suzuki,73000.0,7461.0,4.0,150.0
423,First Owner,Bajaj,69500.0,28000.0,6.0,200.0
424,First Owner,TVS,78500.0,9800.0,3.0,160.0
425,First Owner,TVS,87000.0,7000.0,2.0,160.0
426,Second Owner,TVS,40000.0,16688.0,6.0,180.0
427,First Owner,Mahindra,145000.0,16000.0,5.0,300.0
428,First Owner,Royal Enfield,265000.0,12900.0,2.0,650.0
429,First Owner,Benelli,235000.0,7000.0,4.0,300.0
430,First Owner,Harley-Davidson,400000.0,3000.0,6.0,750.0
431,First Owner,Honda,30000.0,11000.0,13.0,110.0
432,First Owner,KTM,140000.0,14000.0,5.0,200.0
433,First Owner,Yamaha,98000.0,17000.0,3.0,250.0
434,Second Owner,Royal Enfield,74500.0,5432.0,6.0,350.0
435,First Owner,TVS,75000.0,3419.0,3.0,200.0
436,First Owner,Hero,27500.0,25757.0,8.0,125.0
437,First Owner,TVS,10200.0,71474.0,12.0,150.0
438,First Owner,Bajaj,57000.0,17000.0,5.0,150.0
439,First Owner,TVS,21000.0,34688.0,13.0,160.0
440,First Owner,Bajaj,68500.0,8100.0,3.0,160.0
441,First Owner,KTM,174500.0,7900.0,3.0,250.0
442,First Owner,Royal Enfield,108000.0,20000.0,5.0,350.0
448,First Owner,Suzuki,50000.0,12000.0,4.0,150.0
449,First Owner,Royal Enfield,118000.0,12000.0,7.0,535.0
451,First Owner,Hero,33000.0,17525.0,5.0,125.0
452,First Owner,KTM,150000.0,9000.0,4.0,200.0
453,First Owner,Bajaj,70000.0,5000.0,4.0,220.0
454,First Owner,Royal Enfield,105000.0,13200.0,6.0,350.0
455,First Owner,Bajaj,135000.0,5000.0,4.0,400.0
456,First Owner,Bajaj,140000.0,7500.0,4.0,400.0
457,First Owner,Hero,26000.0,28000.0,8.0,110.0
458,First Owner,KTM,230000.0,1100.0,4.0,390.0
459,First Owner,Honda,53000.0,25000.0,5.0,125.0
460,First Owner,Bajaj,76000.0,7500.0,4.0,150.0
461,First Owner,Bajaj,135000.0,7000.0,4.0,400.0
462,First Owner,Bajaj,45000.0,10200.0,4.0,125.0
463,First Owner,Bajaj,60000.0,3500.0,4.0,150.0
464,First Owner,Hero,40000.0,15000.0,4.0,110.0
465,First Owner,Royal Enfield,133000.0,8000.0,4.0,350.0
466,First Owner,Bajaj,25000.0,33000.0,7.0,100.0
467,First Owner,Suzuki,99999.0,5500.0,3.0,150.0
468,Second Owner,Honda,130000.0,14500.0,8.0,250.0
469,First Owner,Hero,25000.0,40688.0,5.0,100.0
470,First Owner,Bajaj,75000.0,15000.0,4.0,220.0
471,First Owner,Bajaj,53000.0,10000.0,5.0,180.0
472,First Owner,Suzuki,25000.0,16801.0,6.0,125.0
473,First Owner,Bajaj,46500.0,21342.0,5.0,150.0
474,Third Owner,Mahindra,18999.0,38669.0,6.0,110.0
475,First Owner,Mahindra,17800.0,10000.0,8.0,110.0
476,First Owner,Bajaj,52000.0,17000.0,4.0,180.0
477,First Owner,Honda,70000.0,13500.0,4.0,160.0
478,First Owner,Yamaha,85000.0,7350.0,5.0,150.0
479,First Owner,Royal Enfield,150000.0,4000.0,2.0,350.0
480,First Owner,Royal Enfield,115000.0,27000.0,5.0,350.0
481,First Owner,Honda,93200.0,6500.0,5.0,150.0
482,First Owner,KTM,155000.0,21250.0,5.0,390.0
483,First Owner,Bajaj,78000.0,16000.0,6.0,200.0
484,First Owner,Royal Enfield,85000.0,12600.0,7.0,350.0
485,First Owner,Bajaj,43000.0,32000.0,5.0,150.0
486,First Owner,TVS,50390.0,45949.0,4.0,160.0
487,Second Owner,Royal Enfield,128700.0,15900.0,5.0,500.0
488,First Owner,Harley-Davidson,510000.0,5600.0,4.0,750.0
489,First Owner,Yamaha,65000.0,33000.0,4.0,150.0
490,First Owner,Honda,55000.0,2000.0,9.0,150.0
491,First Owner,Royal Enfield,126000.0,6518.0,4.0,350.0
492,First Owner,Hero,53300.0,10000.0,2.0,100.0
493,First Owner,Bajaj,76000.0,10000.0,4.0,200.0
494,First Owner,Bajaj,140000.0,10200.0,4.0,400.0
495,First Owner,Bajaj,13600.0,87267.0,13.0,135.0
496,First Owner,TVS,73000.0,2100.0,3.0,180.0
497,Second Owner,Bajaj,17000.0,28130.0,8.0,125.0
498,First Owner,Bajaj,29000.0,39000.0,6.0,150.0
499,First Owner,Suzuki,49000.0,7500.0,5.0,150.0
500,Second Owner,Harley-Davidson,371100.0,6300.0,5.0,750.0
501,First Owner,Bajaj,30000.0,7334.0,7.0,100.0
502,First Owner,Bajaj,70000.0,3400.0,4.0,150.0
503,First Owner,Royal Enfield,131000.0,9900.0,4.0,350.0
504,First Owner,Bajaj,65000.0,7000.0,4.0,160.0
505,First Owner,Hero,65000.0,2600.0,2.0,100.0
506,First Owner,Royal Enfield,96000.0,24000.0,5.0,350.0
